state,statecode,district,active,confirmed,deceased,recovered
Andaman and Nicobar Islands,AN,North and Middle Andaman,0,1,0,1
Andaman and Nicobar Islands,AN,South Andaman,22,32,0,10
Andhra Pradesh,AP,Anantapur,35,53,4,14
Andhra Pradesh,AP,Chittoor,57,73,0,16
Andhra Pradesh,AP,East Godavari,27,39,0,12
Andhra Pradesh,AP,Guntur,200,237,8,29
Andhra Pradesh,AP,Krishna,173,210,8,29
Andhra Pradesh,AP,Kurnool,252,292,9,31
Andhra Pradesh,AP,Prakasam,33,56,0,23
Andhra Pradesh,AP,S.P.S. Nellore,54,79,2,23
Andhra Pradesh,AP,Srikakulam,4,4,0,0
Andhra Pradesh,AP,Visakhapatnam,3,22,0,19
Andhra Pradesh,AP,West Godavari,43,54,0,11
Andhra Pradesh,AP,Y.S.R.,30,58,0,28
Arunachal Pradesh,AR,Lohit,0,1,0,1
Assam,AS,Cachar,2,2,0,0
Assam,AS,Dhubri,4,4,0,0
Assam,AS,Goalpara,1,4,0,3
Assam,AS,Golaghat,1,1,0,0
Assam,AS,Hailakandi,0,1,1,0
Assam,AS,Jorhat,8,8,0,0
Assam,AS,Kamrup,0,1,0,1
Assam,AS,Kamrup Metropolitan,6,6,0,0
Assam,AS,Lakhimpur,0,1,0,1
Assam,AS,Morigaon,3,3,0,0
Assam,AS,Nalbari,3,3,0,0
Assam,AS,South Salmara Mancachar,0,1,0,1
Assam,AS,Unknown,-20,1,0,21
Bihar,BR,Arwal,4,4,0,0
Bihar,BR,Aurangabad,7,7,0,0
Bihar,BR,Banka,2,2,0,0
Bihar,BR,Begusarai,8,9,0,1
Bihar,BR,Bhagalpur,4,5,0,1
Bihar,BR,Bhojpur,8,9,0,1
Bihar,BR,Buxar,24,25,0,1
Bihar,BR,Darbhanga,1,1,0,0
Bihar,BR,East Champaran,5,5,0,0
Bihar,BR,Gaya,1,6,0,5
Bihar,BR,Gopalganj,9,12,0,3
Bihar,BR,Jehanabad,1,1,0,0
Bihar,BR,Kaimur Bhabua,14,14,0,0
Bihar,BR,Lakhisarai,3,4,0,1
Bihar,BR,Madhepura,1,1,0,0
Bihar,BR,Madhubani,5,5,0,0
Bihar,BR,Munger,78,90,1,11
Bihar,BR,Nalanda,29,35,0,6
Bihar,BR,Nawada,2,4,0,2
Bihar,BR,Patna,34,39,0,5
Bihar,BR,Purnia,1,1,0,0
Bihar,BR,Rohtas,31,31,0,0
Bihar,BR,Saran,3,4,0,1
Bihar,BR,Siwan,12,30,0,18
Bihar,BR,Vaishali,1,2,1,0
Chandigarh,CH,Chandigarh,28,45,0,17
Chhattisgarh,CT,Bilaspur,0,1,0,1
Chhattisgarh,CT,Durg,0,1,0,1
Chhattisgarh,CT,Korba,4,28,0,24
Chhattisgarh,CT,Raipur,1,6,0,5
Chhattisgarh,CT,Rajnandgaon,0,1,0,1
Delhi,DL,Central Delhi,184,184,0,0
Delhi,DL,East Delhi,38,38,0,0
Delhi,DL,New Delhi,37,37,0,0
Delhi,DL,North Delhi,60,60,0,0
Delhi,DL,North East Delhi,25,25,0,0
Delhi,DL,North West Delhi,32,32,0,0
Delhi,DL,Shahdara,48,48,0,0
Delhi,DL,South Delhi,70,70,0,0
Delhi,DL,South East Delhi,130,130,0,0
Delhi,DL,South West Delhi,42,42,0,0
Delhi,DL,West Delhi,122,122,0,0
Delhi,DL,Unknown,1389,2320,54,877
Goa,GA,North Goa,0,6,0,6
Goa,GA,South Goa,0,1,0,1
Gujarat,GJ,Ahmadabad,2057,2378,109,212
Gujarat,GJ,Anand,33,51,3,15
Gujarat,GJ,Aravalli,17,18,1,0
Gujarat,GJ,Banas Kantha,26,28,1,1
Gujarat,GJ,Bharuch,13,29,2,14
Gujarat,GJ,Bhavnagar,16,40,5,19
Gujarat,GJ,Botad,12,13,1,0
Gujarat,GJ,Chota Udaipur,10,13,0,3
Gujarat,GJ,Dahod,3,4,0,1
Gujarat,GJ,Gandhinagar,16,30,2,12
Gujarat,GJ,Gir Somnath,1,3,0,2
Gujarat,GJ,Jamnagar,1,2,1,0
Gujarat,GJ,Kachchh,2,6,1,3
Gujarat,GJ,Kheda,5,6,0,1
Gujarat,GJ,Mahesana,5,7,0,2
Gujarat,GJ,Mahisagar,10,10,0,0
Gujarat,GJ,Morbi,0,1,0,1
Gujarat,GJ,Narmada,11,12,0,1
Gujarat,GJ,Navsari,3,3,0,0
Gujarat,GJ,Panch Mahals,18,20,2,0
Gujarat,GJ,Patan,5,17,1,11
Gujarat,GJ,Porbandar,0,3,0,3
Gujarat,GJ,Rajkot,31,46,0,15
Gujarat,GJ,Sabar Kantha,1,3,0,2
Gujarat,GJ,Surat,517,556,19,20
Gujarat,GJ,Surendranagar,1,1,0,0
Gujarat,GJ,Tapi,1,1,0,0
Gujarat,GJ,Dang,2,2,0,0
Gujarat,GJ,Vadodara,171,240,13,56
Gujarat,GJ,Valsad,4,5,1,0
Haryana,HR,Ambala,3,14,1,10
Haryana,HR,Bhiwani,1,3,0,2
Haryana,HR,Charki Dadri,0,1,0,1
Haryana,HR,Faridabad,9,46,0,37
Haryana,HR,Fatehabad,0,1,0,1
Haryana,HR,Gurugram,15,51,0,36
Haryana,HR,Hisar,2,4,0,2
Haryana,HR,Jhajjar,1,1,0,0
Haryana,HR,Jind,0,2,0,2
Haryana,HR,Kaithal,0,2,0,2
Haryana,HR,Karnal,0,6,1,5
Haryana,HR,Kurukshetra,0,2,0,2
Haryana,HR,Nuh,13,57,0,44
Haryana,HR,Palwal,5,34,0,29
Haryana,HR,Panchkula,8,18,0,10
Haryana,HR,Panipat,7,12,0,5
Haryana,HR,Rohtak,3,4,1,0
Haryana,HR,Sirsa,0,4,0,4
Haryana,HR,Sonipat,18,22,0,4
Haryana,HR,Yamunanagar,0,3,0,3
Haryana,HR,Italians,0,14,0,14
Himachal Pradesh,HP,Chamba,2,6,0,4
Himachal Pradesh,HP,Hamirpur,2,2,0,0
Himachal Pradesh,HP,Kangra,0,5,1,4
Himachal Pradesh,HP,Sirmaur,0,2,0,2
Himachal Pradesh,HP,Solan,5,9,1,3
Himachal Pradesh,HP,Una,4,16,0,12
Jammu and Kashmir,JK,Anantnag,53,54,1,0
